####################################################################
                              LOG FILE                              
####################################################################

01:18   25/02/2020
71.4644:    Cache used /opt/pwscf_cache/5475c8cf880ded27e3cf0d29ed5d77a506305301bb1582a7fc7981aec56699017a47f7dc6776e817fd3e97e205ba2c039fedad8da45e0260b96d64dc67868261.out
71.9317:    Cache used /opt/pwscf_cache/cc9c0e741ab67df23b9945d807e2cdcf7ffae6c61ae2fe278ec77cae4fbd6072d69db87e2bce8a173d7e50ce1565ae741b8c87c06553cf1f993d59f8a366c0f2.out
72.4064:    Cache used /opt/pwscf_cache/3ac4a2b843c196f121530606bdc43810ed30f0d5cdc0bb1800858d2b8595f9aa81d7e3e91b2412e8cded8299f3fb85debedf0f4190e8c3169a8a74171b4c3dc2.out
73.196:     Cache used /opt/pwscf_cache/d4399625058488e77cc8e070c84230c5cb0b1059ff97f303a07f1109b6e591eea1e0d089055957a80f34cb47591c1753ccabf295d288cab45267ac72aac605c1.out
73.7176:    Cache used /opt/pwscf_cache/6f23481c8c9f87f88ecd907f124a3a90de7a41c46bd2b0d9f0a20593998b9bb49c12d4d3f62aa03cceab9f2c1e2bbfb4a00c2fa4b645936e8e7688e305840cfa.out
74.2749:    Cache used /opt/pwscf_cache/05724ef2c74dea983ea7a2beae245acd583f7c1c34453b9c9f6487d1de2e4c4dfa4d36493bddcfa9fb276f9d92de4a74d658bdd83b8a1f82ab0d352648e2eb89.out
74.8159:    Cache used /opt/pwscf_cache/fe2fd7707ac30b0f3b2785b9b9b15169c850046e21614864abb60fac45a3858d36601979a5f25399211e4a9d599b7da0b58b2425b2b0b348b67fc5e499adb826.out
75.7001:    Cache used /opt/pwscf_cache/70009cf348f6a68b203ad8948ef90236b1b1c8b4845738dabbc0ad1f457bc14838d4310bc85aa18311322c5c7b32205dab5249c3761e13dacd52a6323833fbb9.out
76.262:     Cache used /opt/pwscf_cache/ad567830f06d3d7e674ac1f2de67061b48dc78e7f4d1c4626c3d30a92759036c19d866a951b3d4f42d7ab32687acedb2cd7d3bf756212bd92f3052d44a978b21.out
76.8101:    Cache used /opt/pwscf_cache/b4c9d6d54b164188c825906cba799d5fd38c41c198c6d160a3f3e56a18192df9c15a58123cdf7a7ea9f670cb9d9fd7e14e6c0d77951be20194d82477f082ad37.out
77.5777:    Cache used /opt/pwscf_cache/1cd04c2b0b96fa07ba4dc76c827ca90973f5385c767696007135eca3bdc2c788deace45a19f6825dc022b7f93bcb6444fcf1025691b648762171b3e9a94963ae.out
78.0175:    Cache used /opt/pwscf_cache/b5e2e30e2135be2ed357dae0ff32578cf4dd0130540d66914e3d5c2df27ebd5ab2ca4f31719ce7bb0aa5d2bae78ede8502202ff7fc3ae677dfcfb8e5b6684b72.out
78.4867:    Cache used /opt/pwscf_cache/94026840178b3fbf42979fb1d19d080fb8611ec83d2c746a33323019c1e2010928d8a5abfdd29b03bf5ddfd6b155c35e69d9162b627bc2a14498860034aded7e.out
78.9916:    Cache used /opt/pwscf_cache/acc72a016ca6702c60e33e7904b8e540d5d8f73c5bdb62aa184f9dab586e8d72d048cfe38fa1ed2499b51d93a88e53c72e0a3ebcccdee864ca03114e8fe4dddc.out
79.854:     Cache used /opt/pwscf_cache/e3f079c1db381cd1d94666a892400d99d6f6137c9c2f6083d9af2e0179f61d64cf72a77edec86dd0b3df3421c5106953fa136c00a8840b86ce11ca72c04c0830.out
80.3883:    Cache used /opt/pwscf_cache/1c7e2bb2561c46006cf88b09f9fdbac41ecdf2cdaf9b7c9a0a4b68d5e077a9cc57bc08c5b94c201c7afd58110c26995e8f8374a6246812b85914e2cde0df3a59.out
80.9503:    Cache used /opt/pwscf_cache/d73e384ec6445833ff71262adf859a9a39ca21fe460872efe9150c286500bf9279fbeb315aa5606e3cc69c03b7784d0ae194daab6d78931522c880ed67da59e8.out
81.4977:    Cache used /opt/pwscf_cache/803dbcc2146084a21789edda0d464ba67f856cd74fa862a117f3d9ff4f220d4670577b2fdc4bc0acb3227cf693a218bdd05c3f96665be36acedeea1d3b0ff3ca.out
82.3571:    Cache used /opt/pwscf_cache/10b577136093e6408842b4d9f3180745a5a4021f89a5d56734729243fb1f2ca17b90dab7afe32b887f50abe67de3dfd38ee8848dc727cf86b45494d8ffb6ae55.out
82.8307:    Cache used /opt/pwscf_cache/5ae1131bd63c77ab8f4beb6c09b486dfcab7cdcd778d87117e2d683becafc92053831d052695375434d717d885861de40c0a424cd9acc9ca68e2f27e9dc1f73c.out
83.2531:    Cache used /opt/pwscf_cache/70a522d61976fcc591cc84f05a20dbaf1201d5eda38edac528dcd62f8aa5829f43c7366ded377e392d5977b994ac121b9099922b716083a7dfb4bda3bf418636.out
83.7333:    Cache used /opt/pwscf_cache/f74114caff01a76056ebd300a7b3e6256f7d779a85a48b2df20e42e91ab25cee2fdfe61d7d4955534bb9058da1d3624be8266c263c6bd9600b5b024fa3e5914c.out
84.5588:    Cache used /opt/pwscf_cache/5c20ede8d1b52eb5400b6d764787ddb9d957cb2bac5b502d23eb315ecad5fbd755ed0c9bde0e692eb9daf5cc6d0a8bbb90644619703c742b1f61ce124083ae51.out
85.0932:    Cache used /opt/pwscf_cache/ab1096ae71cbbb363eb3e14417d6d11bff02bd1d9dfbacf9846ff482bfd6475ecd6ea8b57f0e4f0756acb76f55cbbe24c16c0ef8e5040d961a84463358efd8f7.out
85.6342:    Cache used /opt/pwscf_cache/6b4f8f4626fdd8d7382f9753cfa3c29d3007c51b5cedac526b227b942e7f8178230eb597c732df286b2b1dc71587a37235a3e19045bc2ddf24884cd3716b41b4.out
86.5597:    Cache used /opt/pwscf_cache/edcc1e02bbcda29ce703f28f9eca92eafaab073ab81368c97ce23fd1a27e4a537940d0d303e82dce93de46f05a17942120cb268bfafb1b0d118722c4597fd61b.out
87.0878:    Cache used /opt/pwscf_cache/ab772e46c3485a7db5d6efbb194b5fbbbc918dc3ec1bc6353a4b6cb35311dafe1476909e36a45cfdde885258861bcd7155b755783fb6873ddc6a933569183da7.out
87.6707:    Cache used /opt/pwscf_cache/005b486bdc20ab06ca04f6b31462e8bad61435c869ca8f848c23e02a8674031a619f45d8d3f4ef3176bfe1333f3578aebfcf1f861c10397ce16c9f76637089a9.out
88.1096:    Cache used /opt/pwscf_cache/9ecb7651b6ad079f7c751d8281522642f6f3e45a3532798057e5d0e94a68342b270f12f98e7a3264ea66642e22aacfc2782d419c5c0540be41f259ccc4df5468.out
88.8937:    Cache used /opt/pwscf_cache/542b38d57b79f1f89a24622141283887a5e4f5c850e103b0e4acc5964a5c01a351fdd05c947f13ebc171cd9cfe868a62afcfb7ed396c1572ada6980d7c4133bd.out
89.338:     Cache used /opt/pwscf_cache/fbaac8a6661b15662bd7d5b388b9167fb0c9714e623cb9ef264d9f1fa9c73d4ebd81a34fd6c8550804be2d3400e8558421c9f3c604e7cfa6fa75252a68a4ca6a.out
89.7952:    Cache used /opt/pwscf_cache/585b76a9df6eec25a431c23a1b1436559812e0016220bc185d3af4c9a8be0f2d7c31b4b9f6cc8a5472b7c3f9e23444cb82794542263e182d6cb3720083b4f52b.out
90.3629:    Cache used /opt/pwscf_cache/6e3c36e7520ee9de3a0fceb7063e4c6e2d76d6542aa67bd3be995478c662c625a874661980551e201ac1fde185635c84f1b6ea7d6762d5896b3f63144e64328a.out
91.2239:    Cache used /opt/pwscf_cache/a87ab1282b4951ae6feef02b8ae68199c99d9056c5599dc454e129c4817457bd24a102bc643a27e63751c97ef49f2e5106e7de336a72176e189695a04f87e4f0.out
91.7464:    Cache used /opt/pwscf_cache/61d83de0a772117ac8125534537ddd91668aac1fad1fdd6a5200dda02d89ada5f3502508e78000816bdb49e7f3399bc02d969d1cf862b80d5574a67cba342eac.out
92.3092:    Cache used /opt/pwscf_cache/9dbc17207b32b9bd04805edacf2a52caba7fbdc64fa0accd36006f41b66dce227c98c6183cbe0eaeedf1a90e587f389f61bab67842b7552e1def96df94c27bba.out
93.1769:    Cache used /opt/pwscf_cache/99be69b26a9cd1b9722815399c5b782b5e47ba226a0e4f3647b8ee194683bdae18355495f090e34bfb84b4fe28087dc999d963c98521b28f2d755afa12062123.out
93.6534:    Cache used /opt/pwscf_cache/3e204360b6cbd79ac67d435b4827a0401f0814429d97ee69cb2795aa5a68fc1257972daf9913c41643b7feb643de662426f5e37394b73a812ecaf15489c8ef25.out
94.0987:    Cache used /opt/pwscf_cache/bd005a2a51da5dca8d2a41ff2014a33e60e5475c6151fc012dcabe6ce420a5aef9779c25523cf50b405c0db281882ad34c5533c7275ec36fee9ef59f0f9759b8.out
94.588:     Cache used /opt/pwscf_cache/e54da5f8795dc74de80a129608e91b11d8b7be1e99229a2bf296b23885a2d29f807a59c2b9324b34f10cbf9345b9a0bbff5610bb3ab6f2871d5f7124f2df3aeb.out
95.3656:    Cache used /opt/pwscf_cache/1d7519a003de1e0dfc03f03744d71879dadb0953dddc37f8f0e4dbeed5cc305030e84c47df44713f3452ec87a0b947a2ad7364ad9b27e65f285a2e0db0769ccb.out
95.8762:    Cache used /opt/pwscf_cache/fcfa08af4abcf9295f16dcf80b34e5426471692eb59fa41312bf05dc84a04cbe4f7d53dbe70333d3b003bd810b63d39edcaf0a43c15a5039e703266c7e6ff221.out
96.4262:    Cache used /opt/pwscf_cache/1a63e0a47566b8baeedae328692b137ffd1b6fb148bc08bb9e3f45ebbe4181d5c64df525c0489a5fab3af5a5d6ef2c9447c106f1af30d7628c63d44a401b9e74.out
96.9497:    Cache used /opt/pwscf_cache/1c692b866aac36da91ca283074fc698622976dd10d89825f4c5e92b4d113a195efce04dd8f1f053b77a756939492f8d06326d92658fcb43a36bae157790ff64a.out
97.8452:    Cache used /opt/pwscf_cache/ada736c291f9f64d2f52999b0ee44f52776a5c45cf9b9d287ab00f7fd6d320e7772c92748296385454f237a8b7bba86b2d7c483a65cb350a394943de7107f61e.out
98.4022:    Cache used /opt/pwscf_cache/b39f8962d94c0a2a4634f8f3b12de246f91d7741ba71c3809b9767b5b283ad9f0e3643be64501f5fa16226ecb05a6d9c1726a75ce1245b86194e173e05fddb48.out
98.931:     Cache used /opt/pwscf_cache/885ba4d412bc107f621a4065307c3738595d9ac938d94141a11a2a961d032d250bb6727807076c4711613f07238fd3a2afcaf243938a3abbd75fd9f76cdd317b.out
99.3982:    Cache used /opt/pwscf_cache/7099ac2b074b5d219e57bdd209fb253b70997d4384595023c18e88b7f2c7a21bd4845d3cef42c1113898e1759a33fac0d6c4fed932a453953015792fc7feb557.out
100.1768:   Cache used /opt/pwscf_cache/003e19868870e18f99111474822b5f7a0454b6053f972ed1197b49857addea226501e34220a9da95c65f3f85579de2f5ff8b9a50ac6e0bea19db82138b7bac1e.out
100.6616:   Cache used /opt/pwscf_cache/fd8750458b4c4255aef950ca4dc9bfb60fadf84cde5706ae99c5b3c0ec3aca072283b3ebb10b714b89f49ede3ff61422dd950cba5af0cf5ddef476e8bcb975bc.out
101.1647:   Cache used /opt/pwscf_cache/531f7f88ddd3c437f2d1cff879a75616f94ae6ec70f32a13b0b00bfa316e4d938277c27ad34e0539269924a2a1de70674ffec38cf5f4fb8211ebfb2f5ed81d97.out
102.0306:   Cache used /opt/pwscf_cache/fa09873101eadd94fc64181006a43032f4c4cb7eca84b2ab596808638484c9eafc5d7c0184ace5139245335dd3c34af2116ba120e0880c88acacee07f064a8cd.out
102.564:    Cache used /opt/pwscf_cache/1b64f5f923e4ca512cf1ed4794bb245297a1426c69b7cd4eeb769afb68b33572d38bf49ab9006bef13835d37e76738d4af1045b0f2787da350ca56a0f4076dbc.out
103.0938:   Cache used /opt/pwscf_cache/7d58fbf9b5f117455d1d9c007b2b4561ef459221c27b2fd3596b63e5a84c04da52cc44646a59ec92b6125109bdb32f61ef16aabd2331bbb87611b7fc515475c2.out
103.6624:   Cache used /opt/pwscf_cache/121ebc4eb912535b3cbeeb31554ab63a23844373c736270d77a445040211ee0b5ae397ea3f36a2959ea33f83c675724fcc6e821882f38deafa1974c0a224417b.out
104.8469:   Cache used /opt/pwscf_cache/522490128131c1916a68d398b5986d4825ab7577436305a2b5d51471f4f73d9b1cf8711aaaa7cc051e9c54c4aaf51fb3c6ab1c14d2c4d6d8231d41de1dee127b.out
105.3023:   Cache used /opt/pwscf_cache/cc29532cb3ef154b9aa85531bafcd1d1d37c4ec4f6ea354a057d99e61a8cf431f53e636cd501dc4d57b980e088ba9e71bf26777797869543903f115ebe2fd842.out
105.788:    Cache used /opt/pwscf_cache/4d327ca2abdebfff3acddf9644988d8919043602d338268417afc213946ac75cac542172d98af846ff769e8c19d40365ec1ede7bd52bea77234a824d95ff6aaf.out
106.24:     Cache used /opt/pwscf_cache/e11a6f104cc06804c280766238372d5cd19540d19bba8c4b26560afd51f932cd4350c1a1960bbc23f58e81c8971d674d008485f75bd14e1e3a3ca811d58c34b6.out
106.9963:   Cache used /opt/pwscf_cache/9e0af92fcdafaabbad591bd650afb365bb61d53fc9b9e30de7621976b8970734d3315cf322b44825d92f43e4c8d05a1140b9eccfe2c65a535839c15d22f56468.out
107.5418:   Cache used /opt/pwscf_cache/c978bf9783fa0d546d2b1ba30b73cf710d7139ec41b80e152bd2987aa09083d78b352254b035f43cd778e2763a4ebf5551786bf3e75aec91518c15a99b0572ba.out
108.0826:   Cache used /opt/pwscf_cache/a176afa3f02343f9843f371643c3a26aa3978b6402f46d055cb6b05dfd0f827c345f5cd019c068d53780f97985affd4a2a87f157b47c6bc774bb2222194c6fb8.out
108.9733:   Cache used /opt/pwscf_cache/6fbf91a90ef7ee1bfb8851fea425132e6665cdb3aa84c01846dd93f59356401e22f0a949b290d118595eb2bf40e8f860b403c6446c8a8a328bfded41959d213d.out
109.5189:   Cache used /opt/pwscf_cache/aeeb06ed6af646bcbb0c8f4a0e4a0c80051f8872b9105622cb32e603e79398cc25750328b314fb378c4a5d2d6e160a07b133e63d38dd7c0df7d87632ae7e6599.out
110.4053:   Cache used /opt/pwscf_cache/665136a75c0f3f20907589bb47cd77439679200932d76827d8a3016c5985fb29e82dbc24b3049516cf0faac12cef96663161393b105a428e5f9c5f3a04ea8866.out
110.8624:   Cache used /opt/pwscf_cache/1bc89513aaded9074730f3b7dfa5bfa7227776fec82f3c46f9455791390d8390d04b227fde3ff91c9a71b1f5d18bfa3a0f5fd30d6c210943d293b533f1a0def8.out
111.6574:   Cache used /opt/pwscf_cache/3523eecc254e314fb057f1e6be44f3d7f8528ae1f4a1608a17c960c5c62fc0578821e013e5a036fb95c81642b4a571af297fe55aad379b665f6b4a24b8775839.out
112.1256:   Cache used /opt/pwscf_cache/b488cd0a0eebf2ab031da1b0fa68d29d7accac905089ffff83b8b9d87607f5f2ee805ac864be948335023ff1d7d28629f418c78eb48baa1e278e7b934e9249ad.out
112.5829:   Cache used /opt/pwscf_cache/5ebfc9f42283c2c00121b56eec46f4608917a08ed3011c5de8a1a137a1a0181396ba600469350bb41fe813dc0c11ab8459062912275f9411f36689317b2313bd.out
113.0999:   Cache used /opt/pwscf_cache/a4caecf46e4774eb3e4e9195f9d3ab31c90a4ab93f9b4ee43c9e2402371035c882f68071646c4547d3255b4a7ef746b43e520daf2165486c7a2fa5a5fa1ae9a8.out
113.9511:   Cache used /opt/pwscf_cache/f406303ce4ecde836618980efbd8bbea0716ece4cd35605e775b37ff8671c955e8eccc7703ecf8fefbc65e126e81310f852e3553a3af4707eeb5187cfb06f044.out
114.5085:   Cache used /opt/pwscf_cache/27b9ea61a9126600c759adb788633addf4597e4abf3672b03e29c290bc9f3ac319437971f830996cc1a29b7a50bc7104b62bc4321c593f5088ba71634f9fda84.out
115.0439:   Cache used /opt/pwscf_cache/74486d04e5b1f90d22f694c5579eaab704741ce2ed1972c586241663f0262646deab52e51bacae50a266007df771b2bafe5b7011d2af90d2a358782fb61fb081.out
115.9403:   Cache used /opt/pwscf_cache/223cf4413b115c99ee4e9fa7d9e1c64357b938c81b9248aac5b1ca33c7892b38b3428e4dd5b04a4dd256f845893a8639fa1753cb32f64834c9d0a3f416f6c421.out
116.4772:   Cache used /opt/pwscf_cache/ebe1c4a276e8a954d806e8f1f428238c76aec106a0d4f15188a19a7c7393f85c2ec96a0e1f0d9947683e1f1e8765bae8ac33c505463a93f95bfa82d856bbb79a.out
116.9335:   Cache used /opt/pwscf_cache/3bf2347330960f0708c87f6cf5e950bd8d06a9a4c5360b92b0aceae529da4cbb32001766fd8ae0b6452ef2871f677d0452cbe26dca816c0c01a244f7d251b197.out
117.3678:   Cache used /opt/pwscf_cache/5cbe56b420fb3c1b31de27b7df041da866e9514017e7089696ed7acd06cb4abd06d54eadabbe6234d502f3419c4284a26d75bae90f1df85b5c970692e4da36d8.out
118.1996:   Cache used /opt/pwscf_cache/466f98f769e2ba4a410534dca3698fe8780d75c17be12a432bce29c0bc7973c712577631cc3d226d635f386dbcf09736c2f8396d669f4753713d5e6aaac3692c.out
118.7038:   Cache used /opt/pwscf_cache/c3b0c31a5caab83d40119c50b7294778a3003da5a9d6876afc8af9c96e3137ec53bc73ffdd3db1121f4cf1ca424f47a9c62d2c87cb2835e73da0594c55085f0a.out
119.2373:   Cache used /opt/pwscf_cache/f90b08d2f8066a6215da34fd24ac19a83a5208758fc2000bc6d2aef58efe978baf2c33efe3bda983af008a481c8bc834471255ac0e66c6f76995fad82180156c.out
119.7781:   Cache used /opt/pwscf_cache/83f66841d8460047e3a0070f19ece966529a5f7968c92632df1561cf677ab7dfbd25876520a46c7c29918a7d0809b1f118b0fc996477d4961280f6b1605a9370.out
120.6358:   Cache used /opt/pwscf_cache/8778cee88ea3de4dd649d9dff9043696cc61a52efa82c054ca2a239fce8117d7cf3af56d216c453c022487b665b54c8fec01349ac30e59b18df2b60ec1282fe1.out
121.1822:   Cache used /opt/pwscf_cache/1911c282938d73c6157f29bd858ff439f556e48cf6280984ed629a080ba3471ba10f0f85cd825df46e6e344c7338527c050c4bfe09a54c697edd2b7f4f19f1a3.out
121.7139:   Cache used /opt/pwscf_cache/b3e96aba16bd08b5f19efafbee55fb80d0f1f47730cf5641f65d0084d4fef21fb0db00cbbcdce4f112957570091d355d0cef4114119a9f4ba151d9e93985ed69.out
122.4989:   Cache used /opt/pwscf_cache/0b3a3d96e6afe64b8bc9ec0a9af97d71837ce194238a21e9204aa1f9e834d08a7fb8c2fc3328ce617e49de77fad38463948c31b9bd5644a51f56955a40272b09.out
122.9966:   Cache used /opt/pwscf_cache/e5401fad07aa5ce56110bcf76506b2218759b816b0083a4eb3da1f8f4e30718b526fe9f9004ae0b737d707b26d862ccb839ce66eef67b396844b35ca79132f19.out
124.3795:   Cache used /opt/pwscf_cache/860fde4349267f614f99352b264a346d1123fa5a662898b9a3ac4ae2bb7c80882782d59b1da6a44427a52702c53235ffd3b5004aa2f2913b936e48eb30eb7c05.out
125.2517:   Cache used /opt/pwscf_cache/da13a4f90e2097809fd19b7beb0c5967b75a476e2d4eabc3cc86f968bdacacba4c20a04941e97b0fa82da9177cbd63d51651a70cd6174e63ab6aa55eea0d25fe.out
125.8495:   Cache used /opt/pwscf_cache/b51ac533dbd62b547d8e67aeb37ec3ed272107fe585416c9f065ad1548827a2a4e62e3d9f323bc42a469506fa8ca8767a03337580e60959234c8825b2ea462b8.out
126.4144:   Cache used /opt/pwscf_cache/71cba6f34ee2d1986ec33ccdfc0d89e35aaceb9ee355611e7096941cb99ee115575867cb1c5aa0e2f2af36394b2ab887c690c3b0571ec428e591c34ed3094f4f.out
127.3171:   Cache used /opt/pwscf_cache/ef55fab012da6d58ace72ab5414ab6606905358ea86190c070eab3255b23ff458dfbe1a8e069864b857acbb24a4628a151f3b53f2411c7e5eab6166a0f0546c7.out
127.8606:   Cache used /opt/pwscf_cache/a7026eeedcdd58c6773c666405c2ca53a67408a076379860332520b4354a1f744b57f44ae3ff6d4ca73e9a463446366506459c263a4ead7d90b3e4e986ba6c65.out
128.3756:   Cache used /opt/pwscf_cache/05314440f0a3fe5950361261573da0ead5d8fc123e104229f5a2c8ca48ff61777143779293059f9d37ba508505b96e3508bcc82940e4685b11e596bada66a86c.out
129.1782:   Cache used /opt/pwscf_cache/cd416e2fa9d8eb38edded6562ae08d4f7d0aff7d68ab083d35740817a9dff05f3a6a7139b5a3b4018bf4ff4d299c9160c659c0a65effeb644b85b93c1aa7a30f.out
129.6702:   Cache used /opt/pwscf_cache/f55a182b9b7b495e0450fdf064023ba8dc19f759eb007f9514dcb7dce45c63750c1c68a1f744ff75db2351062169bdde1974c79e3bd8ee24ae002bd91a8a54aa.out
130.1734:   Cache used /opt/pwscf_cache/ad51917cb854abdbbce9c6fd8f9b75334563a989a7a2a9ff151f8fd5febd97f198646446e7fc1840b28a455c84e71f88c942adccaf97abcf93258213d79b7b4c.out
130.7372:   Cache used /opt/pwscf_cache/a616f5e6cab942c76ad8e71d867f1d8743435d5f02f05ae00e802e5dcaf5f1c2ad727c62ba38680e50eb0cb73335fbddcb3e4d15e967a536ac18cc7d084ec14b.out
131.6867:   Cache used /opt/pwscf_cache/6738ddb34614e28acb41ef809d877abdea7bc56e589c06a95494c3910f319db172172211341f6bc73a08dc46e6fdcdd72f1acbf3cf387c24a3cd13e7ea30dd08.out
132.268:    Cache used /opt/pwscf_cache/daa6a84ccead652bfe340a9470c4ffd9958eb7384b57e329779574636f634360f75610a32bd1ad05558e9eab117737d3263c6f5be04110e338481bccf4a4e960.out
132.8778:   Cache used /opt/pwscf_cache/8db506a3fa733c6440c104ce619a85de10080c3e903f018466853644de116f288a5fd7e4519ad2581f192715afd82784baade6b76ea2098cf615b4c818e18537.out
133.8069:   Cache used /opt/pwscf_cache/ddd3b762e941c5199f19223d14f1f046f4b05f08f4dcede324c6cf43b2ae54ad7eae8c8b950db04e6ef98f19d9a3a96ea22ac59085c4a530b4df1e0292e144ee.out
134.3047:   Cache used /opt/pwscf_cache/c87b8ba706acf3c1bfdbb8a1b7d5d3be9230b78516b008e49cc52142010fe0ca2e484cd24166e5c65ac76193010a2c47eef26f5cc3181b27053eb79b5a7842e3.out
134.8022:   Cache used /opt/pwscf_cache/5d7c2cedd6016d5fe0d4f5a6ccef46e30c1a108a439419741891d50dee7bc6469d1c3535ec1ca5333254d4126d80b7da3db0555345c1095f2d4ebb1f9bb92ec5.out
135.3174:   Cache used /opt/pwscf_cache/7ec87f05ddfb239ce72688799e00bbb3ac3d3669d433e0eff8f8ead887469e11222c8a684abfc59255409eb08979d21ff1f7eacbcea0e9b68dd887f8ef42e1d8.out
136.1546:   Cache used /opt/pwscf_cache/687b9eece77e0d94e01114f6c66c3500af994362e64e5733e27b83353d373c59ee05fa36b10270d6740604bb37cd5ec1c68d1d4cdefb9b9d73643a396d2009e3.out
136.7515:   Cache used /opt/pwscf_cache/7feda5efdf41304c4cd7b0800bbfcb8d6509af8710e992658dfd19ee6152cb6bdaac73be4b64b1c8c161da9b7810c3b7a8da7b3908df1edf9df34218213ab06e.out
137.3339:   Cache used /opt/pwscf_cache/57627d993c2e5a1dd6694ffd9778cc8b733d82f3f2ad0317b4827457c430c5ca23f94fc7eb990756ebabaf76067048060c31a1bd451ee230bbaf04260b80decc.out
138.2706:   Cache used /opt/pwscf_cache/25c3c9d7ea269e319c4201ea1ee8c1ff4c8dc524f34e9cf109379fc1e91112eaf82760248e91c3612f7c21c4bfe236cbecbef61ff538b730dddc5d009093eabe.out
138.8523:   Cache used /opt/pwscf_cache/3125f49001aa8b29a9a62bc6921b2dc5d44232ee224e2c7843d5f49a25d1169fe4467b8492272ea7e8dbcd77160133ebbdfb2516c54b17231aee1c14257d3c9f.out
139.4853:   Cache used /opt/pwscf_cache/6e33f1c36835ba969f186490a30c008d1b7788b4c7f14be212c61a097890583a2e97c8f5bd7909cf59cb9ab3a042e06bc966c3ba1545fed08920bcc818ab22ec.out
140.3667:   Cache used /opt/pwscf_cache/93019fbe10b8f650c83eb404a820cf30f16097d9e8b10e0b149b82efd5e6b32e56614a70e4ba20bf26450097dca3baff881bfedf50906c682a2f09cfb4069162.out
140.9:      Cache used /opt/pwscf_cache/56caf7280e3df277cf380a1afecf058cc2dc013afa92be84f9eb95e8ad3affcd2d05a72bb7fd17350da12f3c539376bef2d0aa42753e141aad1b846533b405d7.out
141.3848:   Cache used /opt/pwscf_cache/1af63e5ce3b26f3c8e842e7f77dd8516e89321dcdd766be8bc15f8c09d6d82a4d314c80af4dda89836a8990522740ef8b697bbc5ae3a3c0bb5698a18fb67b829.out
141.8724:   Cache used /opt/pwscf_cache/ba4bdc0dcc21d4e145cbb99d902edf6753cceb04e4c8dadb3c384b387a14f96854fd20159608bc6914f2b154305ac0d5f5abaf3ea8fc717e46513cc59d972697.out
142.664:    Cache used /opt/pwscf_cache/3b57b28803ffb87bdf14b643c8c5f51245335c0a68ba2e1de4769f51d22c0dc7c9d09a6cd937a61c56ea44dafb489509c5f5add63aaf1a6de7e461552f8338e4.out
143.1924:   Cache used /opt/pwscf_cache/c44092ef7d5ac4cd4664e9155a2325ec43803cf7529b72c0029724d5e9d3855f982a0aec9ec8878fce0e1b22cb00bb8f6694874afc8a8c565e9a472212e327cd.out
